id,fips,econ_year,num_civ_labor_force,num_employed
16391,0,2020,160611064,147677360
16392,1000,2020,2230118,2099062
16393,1001,2020,25838,24576
16394,1003,2020,96763,91338
16395,1005,2020,8587,7982
16396,1007,2020,8640,8067
16397,1009,2020,24661,23653
16398,1011,2020,4818,4553
16399,1013,2020,9056,8255
16400,1015,2020,46240,42980
16401,1017,2020,15865,14787
16402,1019,2020,11513,10983
16403,1021,2020,19592,18618
16404,1023,2020,4621,4313
16405,1025,2020,7769,7069
16406,1027,2020,6083,5838
16407,1029,2020,5737,5475
16408,1031,2020,21502,20558
16409,1033,2020,23558,22008
16410,1035,2020,4529,4198
16411,1037,2020,4392,4150
16412,1039,2020,15172,14434
16413,1041,2020,6253,5896
16414,1043,2020,38310,36660
16415,1045,2020,20710,19701
16416,1047,2020,14619,13049
16417,1049,2020,30736,29348
16418,1051,2020,36620,34843
16419,1053,2020,14453,13589
16420,1055,2020,40724,37598
16421,1057,2020,6562,6236
16422,1059,2020,14424,13786
16423,1061,2020,10835,10391
16424,1063,2020,3015,2687
16425,1065,2020,6075,5503
16426,1067,2020,6814,6487
16427,1069,2020,46358,43861
16428,1071,2020,22840,21637
16429,1073,2020,315957,296282
16430,1075,2020,5730,5452
16431,1077,2020,41931,39610
16432,1079,2020,14363,13660
16433,1081,2020,75564,71629
16434,1083,2020,44624,42724
16435,1085,2020,3661,3173
16436,1087,2020,8063,7290
16437,1089,2020,187247,178579
16438,1091,2020,7766,7281
16439,1093,2020,13034,12373
16440,1095,2020,44275,42430
16441,1097,2020,190882,175761
16442,1099,2020,7474,6864
16443,1101,2020,107103,98735
16444,1103,2020,58899,56265
16445,1105,2020,3437,3064
16446,1107,2020,7660,7161
16447,1109,2020,15636,14864
16448,1111,2020,9414,8967
16449,1113,2020,23500,22290
16450,1115,2020,40132,38146
16451,1117,2020,114048,109646
16452,1119,2020,4745,4414
16453,1121,2020,36123,33591
16454,1123,2020,17864,16625
16455,1125,2020,102222,95473
16456,1127,2020,24877,23431
16457,1129,2020,6729,6190
16458,1131,2020,2871,2448
16459,1133,2020,10017,9542
16460,2000,2020,347414,320219
16461,2010,2020,0,0
16462,2013,2020,2523,2423
16463,2016,2020,3732,3563
16464,2020,2020,148392,137421
16465,2050,2020,6963,6158
16466,2060,2020,417,386
16467,2068,2020,680,573
16468,2070,2020,1742,1599
16469,2090,2020,44679,41838
16470,2100,2020,1018,859
16471,2105,2020,1050,908
16472,2110,2020,16374,15293
16473,2122,2020,26341,23948
16474,2130,2020,6520,5893
16475,2150,2020,6090,5710
16476,2158,2020,2299,1854
16477,2164,2020,689,624
16478,2170,2020,47848,43858
16479,2180,2020,3927,3516
16480,2185,2020,3200,3011
16481,2188,2020,2942,2590
16482,2195,2020,1415,1292
16483,2198,2020,2828,2568
16484,2201,2020,0,0
16485,2220,2020,4132,3847
16486,2230,2020,606,476
16487,2232,2020,0,0
16488,2240,2020,2934,2717
16489,2261,2020,4522,4127
16490,2275,2020,984,901
16491,2280,2020,0,0
16492,2282,2020,260,238
16493,2290,2020,2308,2028
16494,4000,2020,3570220,3288150
16495,4001,2020,20195,17614
16496,4003,2020,51995,48368
16497,4005,2020,75280,67985
16498,4007,2020,21008,19387
16499,4009,2020,15919,14911
16500,4011,2020,4454,4210
16501,4012,2020,8979,8343
16502,4013,2020,2331628,2159267
16503,4015,2020,88743,79889
16504,4017,2020,40419,36322
16505,4019,2020,495991,457683
16506,4021,2020,191074,176674
16507,4023,2020,19429,17209
16508,4025,2020,106985,98978
16509,4027,2020,98120,81310
16510,5000,2020,1354296,1272344
16511,5001,2020,9422,9044
16512,5003,2020,7186,6518
16513,5005,2020,16528,15547
16514,5007,2020,140015,133784
16515,5009,2020,15764,14934
16516,5011,2020,4386,4130
16517,5013,2020,2426,2301
16518,5015,2020,12709,11989
16519,5017,2020,3250,2914
16520,5019,2020,9314,8765
16521,5021,2020,5519,5186
16522,5023,2020,9157,8460
16523,5025,2020,3203,3008
16524,5027,2020,9053,8433
16525,5029,2020,8392,7888
16526,5031,2020,55775,52803
16527,5033,2020,26436,24998
16528,5035,2020,21209,19459
16529,5037,2020,7291,6847
16530,5039,2020,2832,2681
16531,5041,2020,5321,4948
16532,5043,2020,7730,7196
16533,5045,2020,61682,58321
16534,5047,2020,7478,7059
16535,5049,2020,4924,4671
16536,5051,2020,41347,38052
16537,5053,2020,8222,7796
16538,5055,2020,19450,18292
16539,5057,2020,9593,9094
16540,5059,2020,14100,13285
16541,5061,2020,5533,5257
16542,5063,2020,16670,15711
16543,5065,2020,4640,4249
16544,5067,2020,5863,5444
16545,5069,2020,27398,25194
16546,5071,2020,10120,9482
16547,5073,2020,2421,2236
16548,5075,2020,6786,6369
16549,5077,2020,2805,2595
16550,5079,2020,3834,3605
16551,5081,2020,5385,5038
16552,5083,2020,8656,8081
16553,5085,2020,33550,31692
16554,5087,2020,7413,7126
16555,5089,2020,6251,5848
16556,5091,2020,19379,18047
16557,5093,2020,17264,15705
16558,5095,2020,2721,2539
16559,5097,2020,2981,2778
16560,5099,2020,3550,3342
16561,5101,2020,3246,3084
16562,5103,2020,9821,9229
16563,5105,2020,4188,3956
16564,5107,2020,6402,5822
16565,5109,2020,4272,4020
16566,5111,2020,9919,9374
16567,5113,2020,8013,7482
16568,5115,2020,27775,26138
16569,5117,2020,3608,3415
16570,5119,2020,188928,174884
16571,5121,2020,7444,7005
16572,5123,2020,8028,7394
16573,5125,2020,58181,55241
16574,5127,2020,4354,4159
16575,5129,2020,2885,2701
16576,5131,2020,56158,52803
16577,5133,2020,5524,5202
16578,5135,2020,5717,5309
16579,5137,2020,4618,4290
16580,5139,2020,15622,14325
16581,5141,2020,5758,5349
16582,5143,2020,126141,120346
16583,5145,2020,33972,31855
16584,5147,2020,2794,2631
16585,5149,2020,7997,7592
16586,6000,2020,18821167,16913078
16587,6001,2020,813807,742411
16588,6003,2020,517,459
16589,6005,2020,14424,13107
16590,6007,2020,92604,84095
16591,6009,2020,21207,19588
16592,6011,2020,10499,8824
16593,6013,2020,541256,493236
16594,6015,2020,9350,8466
16595,6017,2020,90752,83262
16596,6019,2020,445518,395258
16597,6021,2020,12568,11455
16598,6023,2020,59411,54446
16599,6025,2020,69602,53949
16600,6027,2020,8305,7658
16601,6029,2020,383769,335707
16602,6031,2020,56416,49883
16603,6033,2020,28267,25567
16604,6035,2020,9461,8785
16605,6037,2020,4921499,4291688
16606,6039,2020,61738,55089
16607,6041,2020,130138,121476
16608,6043,2020,7162,6381
16609,6045,2020,37015,33723
16610,6047,2020,114736,100755
16611,6049,2020,3170,2900
16612,6051,2020,7846,6917
16613,6053,2020,213471,190389
16614,6055,2020,68867,62853
16615,6057,2020,46489,42787
16616,6059,2020,1553301,1416738
16617,6061,2020,184892,171319
16618,6063,2020,7559,6753
16619,6065,2020,1107723,997725
