id,fips,econ_year,unemp_rate,num_unemployed
1,0,2020,8.1,12933704
2,1000,2020,5.9,131056
3,1001,2020,4.9,1262
4,1003,2020,5.6,5425
5,1005,2020,7,605
6,1007,2020,6.6,573
7,1009,2020,4.1,1008
8,1011,2020,5.5,265
9,1013,2020,8.8,801
10,1015,2020,7.1,3260
11,1017,2020,6.8,1078
12,1019,2020,4.6,530
13,1021,2020,5,974
14,1023,2020,6.7,308
15,1025,2020,9,700
16,1027,2020,4,245
17,1029,2020,4.6,262
18,1031,2020,4.4,944
19,1033,2020,6.6,1550
20,1035,2020,7.3,331
21,1037,2020,5.5,242
22,1039,2020,4.9,738
23,1041,2020,5.7,357
24,1043,2020,4.3,1650
25,1045,2020,4.9,1009
26,1047,2020,10.7,1570
27,1049,2020,4.5,1388
28,1051,2020,4.9,1777
29,1053,2020,6,864
30,1055,2020,7.7,3126
31,1057,2020,5,326
32,1059,2020,4.4,638
33,1061,2020,4.1,444
34,1063,2020,10.9,328
35,1065,2020,9.4,572
36,1067,2020,4.8,327
37,1069,2020,5.4,2497
38,1071,2020,5.3,1203
39,1073,2020,6.2,19675
40,1075,2020,4.9,278
41,1077,2020,5.5,2321
42,1079,2020,4.9,703
43,1081,2020,5.2,3935
44,1083,2020,4.3,1900
45,1085,2020,13.3,488
46,1087,2020,9.6,773
47,1089,2020,4.6,8668
48,1091,2020,6.2,485
49,1093,2020,5.1,661
50,1095,2020,4.2,1845
51,1097,2020,7.9,15121
52,1099,2020,8.2,610
53,1101,2020,7.8,8368
54,1103,2020,4.5,2634
55,1105,2020,10.9,373
56,1107,2020,6.5,499
57,1109,2020,4.9,772
58,1111,2020,4.7,447
59,1113,2020,5.1,1210
60,1115,2020,4.9,1986
61,1117,2020,3.9,4402
62,1119,2020,7,331
63,1121,2020,7,2532
64,1123,2020,6.9,1239
65,1125,2020,6.6,6749
66,1127,2020,5.8,1446
67,1129,2020,8,539
68,1131,2020,14.7,423
69,1133,2020,4.7,475
70,2000,2020,7.8,27195
71,2010,2020,0,0
72,2013,2020,4,100
73,2016,2020,4.5,169
74,2020,2020,7.4,10971
75,2050,2020,11.6,805
76,2060,2020,7.4,31
77,2068,2020,15.7,107
78,2070,2020,8.2,143
79,2090,2020,6.4,2841
80,2100,2020,15.6,159
81,2105,2020,13.5,142
82,2110,2020,6.6,1081
83,2122,2020,9.1,2393
84,2130,2020,9.6,627
85,2150,2020,6.2,380
86,2158,2020,19.4,445
87,2164,2020,9.4,65
88,2170,2020,8.3,3990
89,2180,2020,10.5,411
90,2185,2020,5.9,189
91,2188,2020,12,352
92,2195,2020,8.7,123
93,2198,2020,9.2,260
94,2201,2020,0,0
95,2220,2020,6.9,285
96,2230,2020,21.5,130
97,2232,2020,0,0
98,2240,2020,7.4,217
99,2261,2020,8.7,395
100,2275,2020,8.4,83
101,2280,2020,0,0
102,2282,2020,8.5,22
103,2290,2020,12.1,280
104,4000,2020,7.9,282070
105,4001,2020,12.8,2581
106,4003,2020,7,3627
107,4005,2020,9.7,7295
108,4007,2020,7.7,1621
109,4009,2020,6.3,1008
110,4011,2020,5.5,244
111,4012,2020,7.1,636
112,4013,2020,7.4,172361
113,4015,2020,10,8854
114,4017,2020,10.1,4097
115,4019,2020,7.7,38308
116,4021,2020,7.5,14400
117,4023,2020,11.4,2220
118,4025,2020,7.5,8007
119,4027,2020,17.1,16810
120,5000,2020,6.1,81952
121,5001,2020,4,378
122,5003,2020,9.3,668
123,5005,2020,5.9,981
124,5007,2020,4.5,6231
125,5009,2020,5.3,830
126,5011,2020,5.8,256
127,5013,2020,5.2,125
