ID,FIPS,Year,UnempRate,NumUnemployed
1,0,2020,8.1,12933704.0
2,1000,2020,5.9,131056.0
3,1001,2020,4.9,1262.0
4,1003,2020,5.6,5425.0
5,1005,2020,7.0,605.0
6,1007,2020,6.6,573.0
7,1009,2020,4.1,1008.0
8,1011,2020,5.5,265.0
9,1013,2020,8.8,801.0
10,1015,2020,7.1,3260.0
11,1017,2020,6.8,1078.0
12,1019,2020,4.6,530.0
13,1021,2020,5.0,974.0
14,1023,2020,6.7,308.0
15,1025,2020,9.0,700.0
16,1027,2020,4.0,245.0
17,1029,2020,4.6,262.0
18,1031,2020,4.4,944.0
19,1033,2020,6.6,1550.0
20,1035,2020,7.3,331.0
21,1037,2020,5.5,242.0
22,1039,2020,4.9,738.0
23,1041,2020,5.7,357.0
24,1043,2020,4.3,1650.0
25,1045,2020,4.9,1009.0
26,1047,2020,10.7,1570.0
27,1049,2020,4.5,1388.0
28,1051,2020,4.9,1777.0
29,1053,2020,6.0,864.0
30,1055,2020,7.7,3126.0
31,1057,2020,5.0,326.0
32,1059,2020,4.4,638.0
33,1061,2020,4.1,444.0
34,1063,2020,10.9,328.0
35,1065,2020,9.4,572.0
36,1067,2020,4.8,327.0
37,1069,2020,5.4,2497.0
38,1071,2020,5.3,1203.0
39,1073,2020,6.2,19675.0
40,1075,2020,4.9,278.0
41,1077,2020,5.5,2321.0
42,1079,2020,4.9,703.0
43,1081,2020,5.2,3935.0
44,1083,2020,4.3,1900.0
45,1085,2020,13.3,488.0
46,1087,2020,9.6,773.0
47,1089,2020,4.6,8668.0
48,1091,2020,6.2,485.0
49,1093,2020,5.1,661.0
50,1095,2020,4.2,1845.0
51,1097,2020,7.9,15121.0
52,1099,2020,8.2,610.0
53,1101,2020,7.8,8368.0
54,1103,2020,4.5,2634.0
55,1105,2020,10.9,373.0
56,1107,2020,6.5,499.0
57,1109,2020,4.9,772.0
58,1111,2020,4.7,447.0
59,1113,2020,5.1,1210.0
60,1115,2020,4.9,1986.0
61,1117,2020,3.9,4402.0
62,1119,2020,7.0,331.0
63,1121,2020,7.0,2532.0
64,1123,2020,6.9,1239.0
65,1125,2020,6.6,6749.0
66,1127,2020,5.8,1446.0
67,1129,2020,8.0,539.0
68,1131,2020,14.7,423.0
69,1133,2020,4.7,475.0
70,2000,2020,7.8,27195.0
71,2010,2020,0.0,0.0
72,2013,2020,4.0,100.0
73,2016,2020,4.5,169.0
74,2020,2020,7.4,10971.0
75,2050,2020,11.6,805.0
76,2060,2020,7.4,31.0
77,2068,2020,15.7,107.0
78,2070,2020,8.2,143.0
79,2090,2020,6.4,2841.0
80,2100,2020,15.6,159.0
81,2105,2020,13.5,142.0
82,2110,2020,6.6,1081.0
83,2122,2020,9.1,2393.0
84,2130,2020,9.6,627.0
85,2150,2020,6.2,380.0
86,2158,2020,19.4,445.0
87,2164,2020,9.4,65.0
88,2170,2020,8.3,3990.0
89,2180,2020,10.5,411.0
90,2185,2020,5.9,189.0
91,2188,2020,12.0,352.0
92,2195,2020,8.7,123.0
93,2198,2020,9.2,260.0
94,2201,2020,0.0,0.0
95,2220,2020,6.9,285.0
96,2230,2020,21.5,130.0
97,2232,2020,0.0,0.0
98,2240,2020,7.4,217.0
99,2261,2020,8.7,395.0
100,2275,2020,8.4,83.0
101,2280,2020,0.0,0.0
102,2282,2020,8.5,22.0
103,2290,2020,12.1,280.0
104,4000,2020,7.9,282070.0
105,4001,2020,12.8,2581.0
106,4003,2020,7.0,3627.0
107,4005,2020,9.7,7295.0
108,4007,2020,7.7,1621.0
109,4009,2020,6.3,1008.0
110,4011,2020,5.5,244.0
111,4012,2020,7.1,636.0
112,4013,2020,7.4,172361.0
113,4015,2020,10.0,8854.0
114,4017,2020,10.1,4097.0
115,4019,2020,7.7,38308.0
116,4021,2020,7.5,14400.0
117,4023,2020,11.4,2220.0
118,4025,2020,7.5,8007.0
119,4027,2020,17.1,16810.0
120,5000,2020,6.1,81952.0
121,5001,2020,4.0,378.0
122,5003,2020,9.3,668.0
123,5005,2020,5.9,981.0
124,5007,2020,4.5,6231.0
125,5009,2020,5.3,830.0
126,5011,2020,5.8,256.0
127,5013,2020,5.2,125.0
128,5015,2020,5.7,720.0
129,5017,2020,10.3,336.0
130,5019,2020,5.9,549.0
131,5021,2020,6.0,333.0
132,5023,2020,7.6,697.0
133,5025,2020,6.1,195.0
134,5027,2020,6.8,620.0
135,5029,2020,6.0,504.0
136,5031,2020,5.3,2972.0
137,5033,2020,5.4,1438.0
138,5035,2020,8.3,1750.0
139,5037,2020,6.1,444.0
140,5039,2020,5.3,151.0
141,5041,2020,7.0,373.0
142,5043,2020,6.9,534.0
143,5045,2020,5.4,3361.0
144,5047,2020,5.6,419.0
145,5049,2020,5.1,253.0
146,5051,2020,8.0,3295.0
147,5053,2020,5.2,426.0
148,5055,2020,6.0,1158.0
149,5057,2020,5.2,499.0
150,5059,2020,5.8,815.0
151,5061,2020,5.0,276.0
152,5063,2020,5.8,959.0
153,5065,2020,8.4,391.0
154,5067,2020,7.1,419.0
155,5069,2020,8.0,2204.0
156,5071,2020,6.3,638.0
157,5073,2020,7.6,185.0
158,5075,2020,6.1,417.0
159,5077,2020,7.5,210.0
160,5079,2020,6.0,229.0
161,5081,2020,6.4,347.0
162,5083,2020,6.6,575.0
163,5085,2020,5.5,1858.0
164,5087,2020,3.9,287.0
165,5089,2020,6.4,403.0
166,5091,2020,6.9,1332.0
167,5093,2020,9.0,1559.0
168,5095,2020,6.7,182.0
169,5097,2020,6.8,203.0
170,5099,2020,5.9,208.0
171,5101,2020,5.0,162.0
172,5103,2020,6.0,592.0
173,5105,2020,5.5,232.0
174,5107,2020,9.1,580.0
175,5109,2020,5.9,252.0
176,5111,2020,5.5,545.0
177,5113,2020,6.6,531.0
178,5115,2020,5.9,1637.0
179,5117,2020,5.3,193.0
180,5119,2020,7.4,14044.0
181,5121,2020,5.9,439.0
182,5123,2020,7.9,634.0
183,5125,2020,5.1,2940.0
184,5127,2020,4.5,195.0
185,5129,2020,6.4,184.0
186,5131,2020,6.0,3355.0
187,5133,2020,5.8,322.0
188,5135,2020,7.1,408.0
189,5137,2020,7.1,328.0
190,5139,2020,8.3,1297.0
191,5141,2020,7.1,409.0
192,5143,2020,4.6,5795.0
193,5145,2020,6.2,2117.0
194,5147,2020,5.8,163.0
195,5149,2020,5.1,405.0
196,6000,2020,10.1,1908089.0
197,6001,2020,8.8,71396.0
198,6003,2020,11.2,58.0
199,6005,2020,9.1,1317.0
200,6007,2020,9.2,8509.0
201,6009,2020,7.6,1619.0
202,6011,2020,16.0,1675.0
203,6013,2020,8.9,48020.0
204,6015,2020,9.5,884.0
205,6017,2020,8.3,7490.0
206,6019,2020,11.3,50260.0
207,6021,2020,8.9,1113.0
208,6023,2020,8.4,4965.0
209,6025,2020,22.5,15653.0
210,6027,2020,7.8,647.0
211,6029,2020,12.5,48062.0
212,6031,2020,11.6,6533.0
213,6033,2020,9.6,2700.0
214,6035,2020,7.1,676.0
215,6037,2020,12.8,629811.0
216,6039,2020,10.8,6649.0
217,6041,2020,6.7,8662.0
218,6043,2020,10.9,781.0
219,6045,2020,8.9,3292.0
220,6047,2020,12.2,13981.0
221,6049,2020,8.5,270.0
222,6051,2020,11.8,929.0
223,6053,2020,10.8,23082.0
224,6055,2020,8.7,6014.0
225,6057,2020,8.0,3702.0
226,6059,2020,8.8,136563.0
227,6061,2020,7.3,13573.0
228,6063,2020,10.7,806.0
229,6065,2020,9.9,109998.0
230,6067,2020,9.3,65558.0
231,6069,2020,9.9,3119.0
232,6071,2020,9.4,91295.0
233,6073,2020,9.2,141814.0
234,6075,2020,7.8,43525.0
235,6077,2020,11.3,37374.0
236,6079,2020,7.7,10195.0
237,6081,2020,6.9,29748.0
238,6083,2020,8.0,17335.0
239,6085,2020,7.0,71340.0
240,6087,2020,9.5,12714.0
241,6089,2020,8.7,6343.0
242,6091,2020,8.0,103.0
243,6093,2020,9.7,1637.0
244,6095,2020,9.5,19205.0
245,6097,2020,7.9,19300.0
246,6099,2020,10.7,25756.0
247,6101,2020,11.0,4995.0
248,6103,2020,8.8,2262.0
249,6105,2020,8.0,360.0
250,6107,2020,13.2,26299.0
251,6109,2020,10.4,2084.0
252,6111,2020,8.6,34964.0
253,6113,2020,7.5,7915.0
254,6115,2020,10.5,3163.0
255,8000,2020,7.3,226764.0
256,8001,2020,8.0,22029.0
257,8003,2020,6.4,535.0
258,8005,2020,7.9,28825.0
259,8007,2020,7.6,538.0
260,8009,2020,2.3,50.0
261,8011,2020,4.4,80.0
262,8013,2020,6.2,11887.0
263,8014,2020,6.6,2670.0
264,8015,2020,6.3,615.0
265,8017,2020,2.4,27.0
266,8019,2020,8.5,523.0
267,8021,2020,5.6,227.0
268,8023,2020,7.2,132.0
269,8025,2020,5.4,83.0
270,8027,2020,5.0,105.0
271,8029,2020,6.6,940.0
272,8031,2020,8.2,34900.0
273,8033,2020,6.9,78.0
274,8035,2020,5.8,11237.0
275,8037,2020,9.5,3389.0
276,8039,2020,4.7,697.0
277,8041,2020,7.3,25036.0
278,8043,2020,7.7,1190.0
279,8045,2020,6.8,2156.0
280,8047,2020,11.3,454.0
281,8049,2020,8.4,788.0
282,8051,2020,6.6,751.0
283,8053,2020,4.2,18.0
284,8055,2020,9.4,249.0
285,8057,2020,4.3,40.0
286,8059,2020,7.1,23625.0
287,8061,2020,2.3,22.0
288,8063,2020,2.8,119.0
289,8065,2020,8.2,399.0
290,8067,2020,6.8,2147.0
291,8069,2020,6.3,12841.0
292,8071,2020,7.4,483.0
293,8073,2020,4.5,106.0
294,8075,2020,4.7,522.0
295,8077,2020,7.5,5634.0
296,8079,2020,5.8,27.0
297,8081,2020,6.0,436.0
298,8083,2020,7.1,908.0
299,8085,2020,6.6,1431.0
300,8087,2020,5.4,871.0
301,8089,2020,6.2,508.0
302,8091,2020,8.1,201.0
303,8093,2020,5.7,634.0
304,8095,2020,2.7,66.0
305,8097,2020,10.5,1176.0
306,8099,2020,4.4,276.0
307,8101,2020,8.2,6318.0
308,8103,2020,5.4,160.0
309,8105,2020,7.1,385.0
310,8107,2020,7.9,1277.0
311,8109,2020,7.0,242.0
312,8111,2020,6.7,34.0
313,8113,2020,10.9,592.0
314,8115,2020,3.4,40.0
315,8117,2020,9.8,2198.0
316,8119,2020,7.5,968.0
317,8121,2020,3.1,91.0
318,8123,2020,7.0,11624.0
319,8125,2020,2.8,159.0
320,9000,2020,7.9,148010.0
321,9001,2020,7.9,37044.0
322,9003,2020,8.1,38682.0
323,9005,2020,6.9,7007.0
324,9007,2020,6.5,6010.0
325,9009,2020,8.0,36502.0
326,9011,2020,9.6,12679.0
327,9013,2020,6.2,5236.0
328,9015,2020,7.8,4849.0
329,10000,2020,7.8,37900.0
330,10001,2020,8.6,6872.0
331,10003,2020,7.7,23039.0
332,10005,2020,7.5,7990.0
333,11000,2020,8.0,32895.0
334,11001,2020,8.0,32895.0
335,12000,2020,7.7,781491.0
336,12001,2020,5.4,7235.0
337,12003,2020,4.9,580.0
338,12005,2020,6.1,5017.0
339,12007,2020,5.9,641.0
340,12009,2020,6.6,18724.0
341,12011,2020,8.8,90289.0
342,12013,2020,5.2,246.0
343,12015,2020,7.3,5214.0
344,12017,2020,8.4,3918.0
345,12019,2020,5.4,5654.0
